Date,三菱商事 株価 掲示板,三菱商事 株価,original_event
2022-06-10,0,49,2022-06-22
2022-06-11,0,10,2022-06-22
2022-06-12,0,10,2022-06-22
2022-06-13,0,59,2022-06-22
2022-06-14,0,58,2022-06-22
2022-06-15,0,50,2022-06-22
2022-06-16,0,53,2022-06-22
2022-06-17,0,50,2022-06-22
2022-06-18,0,8,2022-06-22
2022-06-19,0,8,2022-06-22
2022-06-20,0,58,2022-06-22
2022-06-21,0,52,2022-06-22
2022-06-22,60,78,2022-06-22
2022-06-23,77,67,2022-06-22
2022-06-24,0,80,2022-06-22
2022-06-25,0,14,2022-06-22
2022-06-26,0,11,2022-06-22
2022-06-27,0,67,2022-06-22
2022-06-28,0,65,2022-06-22
2022-06-29,0,58,2022-06-22
2022-06-30,0,43,2022-06-22
2022-07-01,100,100,2022-06-22
2022-07-02,0,18,2022-06-22
2022-07-03,0,13,2022-06-22
2022-07-04,50,78,2022-06-22
2022-07-05,0,62,2022-06-22
2022-07-06,48,72,2022-06-22
2022-07-07,0,67,2022-06-22
2022-10-17,0,50,2022-11-01
2022-10-18,0,49,2022-11-01
2022-10-19,0,45,2022-11-01
2022-10-20,0,41,2022-11-01
2022-10-21,0,41,2022-11-01
2022-10-22,0,10,2022-11-01
2022-10-23,0,7,2022-11-01
2022-10-24,0,42,2022-11-01
2022-10-25,0,43,2022-11-01
2022-10-26,0,48,2022-11-01
2022-10-27,0,38,2022-11-01
2022-10-28,0,40,2022-11-01
2022-10-29,0,8,2022-11-01
2022-10-30,0,8,2022-11-01
2022-10-31,0,54,2022-11-01
2022-11-01,0,54,2022-11-01
2022-11-02,0,52,2022-11-01
2022-11-03,0,15,2022-11-01
2022-11-04,0,48,2022-11-01
2022-11-05,0,7,2022-11-01
2022-11-06,0,10,2022-11-01
2022-11-07,41,66,2022-11-01
2022-11-08,100,100,2022-11-01
2022-11-09,48,75,2022-11-01
2022-11-10,0,61,2022-11-01
2022-11-11,0,66,2022-11-01
2022-11-12,0,16,2022-11-01
2022-11-13,0,6,2022-11-01
2022-11-14,37,53,2022-11-01
2022-11-15,0,53,2022-11-01
2022-11-16,0,50,2022-11-01
2023-01-22,0,7,2023-02-06
2023-01-23,0,52,2023-02-06
2023-01-24,0,54,2023-02-06
2023-01-25,0,60,2023-02-06
2023-01-26,0,46,2023-02-06
2023-01-27,0,48,2023-02-06
2023-01-28,0,9,2023-02-06
2023-01-29,0,7,2023-02-06
2023-01-30,0,53,2023-02-06
2023-01-31,0,45,2023-02-06
2023-02-01,0,53,2023-02-06
2023-02-02,0,53,2023-02-06
2023-02-03,50,78,2023-02-06
2023-02-04,0,22,2023-02-06
2023-02-05,0,24,2023-02-06
2023-02-06,100,100,2023-02-06
2023-02-07,33,72,2023-02-06
2023-02-08,0,66,2023-02-06
2023-02-09,0,61,2023-02-06
2023-02-10,0,59,2023-02-06
2023-02-11,35,9,2023-02-06
2023-02-12,0,10,2023-02-06
2023-02-13,0,64,2023-02-06
2023-02-14,0,62,2023-02-06
2023-02-15,47,59,2023-02-06
2023-02-16,0,61,2023-02-06
2023-02-17,0,56,2023-02-06
2023-02-18,0,12,2023-02-06
2023-02-19,0,7,2023-02-06
2023-02-20,0,65,2023-02-06
2023-02-21,35,57,2023-02-06
